No,carat,cut,color,clarity,depth,table,price,x,y,z
758,0.59,Premium,H,VS2,60.7,56,1572,5.46,5.41,3.3
759,0.59,Ideal,D,SI2,60.2,57,1572,5.47,5.42,3.28
760,0.59,Premium,D,SI2,61.2,60,1572,5.42,5.37,3.3
761,0.59,Ideal,D,SI2,62.3,55,1572,5.41,5.38,3.36
762,0.57,Ideal,H,VS2,60.2,59,1573,5.35,5.38,3.23
763,0.51,Ideal,H,VS1,61.8,57,1573,5.11,5.14,3.16
764,0.52,Ideal,H,VS2,61.8,56,1573,5.19,5.16,3.2
765,0.51,Premium,D,SI1,62.7,59,1574,5.08,5.06,3.18
766,0.51,Ideal,D,SI1,62.9,57,1574,5.12,5.09,3.21
767,0.51,Ideal,D,SI1,61.8,55,1574,5.15,5.11,3.17
768,0.51,Premium,D,SI1,62.3,61,1574,5.11,5.07,3.17
769,0.51,Very Good,D,SI1,63.5,55,1574,5.09,5.08,3.23
770,0.51,Good,D,SI1,63.6,57,1574,5.08,5.05,3.22
771,0.51,Premium,D,SI1,63,59,1574,5.11,5.05,3.2
772,0.51,Very Good,D,SI1,63.5,56,1574,5.08,5.06,3.22
773,0.51,Ideal,H,VVS2,61,57,1574,5.22,5.18,3.17
774,0.51,Premium,D,SI1,59.9,61,1574,5.18,5.14,3.09
775,0.51,Ideal,I,VVS2,60.6,56,1575,5.18,5.22,3.15
776,0.52,Ideal,H,VS1,62,55.4,1575,5.16,5.21,3.21
777,0.53,Very Good,D,SI1,61.2,54,1576,5.23,5.26,3.21
778,0.56,Very Good,H,VS2,61.8,54.1,1576,5.31,5.34,3.29
779,0.51,Very Good,H,VVS2,62.2,61,1577,5.06,5.1,3.16
